"Študenti terciarnega izobraževanja po podroèju izobraževanja (KLASIUS-P-16, 1. raven), spolu, naèinu študija in vrsti izobraževanja, Slovenija, letno"

"VRSTA IZOBRAŽEVANJA";"NAÈIN ŠTUDIJA";"PODROÈJE IZOBRAŽEVANJA (KLASIUS-P-16)";"2017/18 Spol - SKUPAJ";"2017/18 Moški";"2017/18 Ženske";"2018/19 Spol - SKUPAJ";"2018/19 Moški";"2018/19 Ženske";"2019/20 Spol - SKUPAJ";"2019/20 Moški";"2019/20 Ženske";"2020/21 Spol - SKUPAJ";"2020/21 Moški";"2020/21 Ženske"
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";480.0;192.0;288.0;423.0;161.0;262.0;400.0;158.0;242.0;414.0;158.0;256.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"09 Zdravstvo in socialna varnost";709.0;58.0;651.0;708.0;60.0;648.0;746.0;71.0;675.0;827.0;85.0;742.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Redni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";983.0;419.0;564.0;981.0;415.0;566.0;949.0;387.0;562.0;1061.0;438.0;623.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"Podroèje izobraževanja - SKUPAJ";900.0;306.0;594.0;826.0;276.0;550.0;823.0;270.0;553.0;958.0;321.0;637.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";265.0;41.0;224.0;265.5;49.0;216.5;230.5;37.5;193.0;251.0;46.0;205.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"02 Umetnost in humanistika";84.5;36.0;48.5;69.0;25.5;43.5;63.5;20.5;43.0;83.0;30.0;53.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"03 Družbene vede, novinarstvo in informacijska znanost";127.5;67.0;60.5;127.5;65.5;62.0;134.0;81.0;53.0;157.0;86.0;71.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"04 Poslovne in upravne vede, pravo";304.0;101.0;203.0;252.0;79.0;173.0;254.0;68.0;186.0;281.0;72.0;209.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"05 Naravoslovje, matematika in statistika";2.0;2.0;-;17.0;8.0;9.0;23.0;10.0;13.0;24.0;11.0;13.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"06 Informacijske in komunikacijske tehnologije (IKT)";3.0;2.0;1.0;-;-;-;-;-;-;-;-;-
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";2.0;2.0;-;3.0;2.0;1.0;1.0;-;1.0;2.0;-;2.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";-;-;-;-;-;-;-;-;-;-;-;-
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"09 Zdravstvo in socialna varnost";11.0;-;11.0;6.0;-;6.0;33.0;6.0;27.0;56.0;12.0;44.0
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"Izredni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";101.0;55.0;46.0;86.0;47.0;39.0;84.0;47.0;37.0;104.0;64.0;40.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"Podroèje izobraževanja - SKUPAJ";4612.0;1403.0;3209.0;4457.0;1318.0;3139.0;4349.0;1254.0;3095.0;4601.0;1310.0;3291.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";97.0;24.0;73.0;99.0;29.0;70.0;104.0;31.0;73.0;126.0;42.0;84.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"02 Umetnost in humanistika";50.0;45.0;5.0;41.0;38.0;3.0;33.0;30.0;3.0;28.0;26.0;2.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"03 Družbene vede, novinarstvo in informacijska znanost";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"04 Poslovne in upravne vede, pravo";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"05 Naravoslovje, matematika in statistika";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"06 Informacijske in komunikacijske tehnologije (IKT)";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";951.0;341.0;610.0;904.0;309.0;595.0;865.0;305.0;560.0;878.0;315.0;563.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";383.0;80.0;303.0;389.0;72.0;317.0;380.0;67.0;313.0;412.0;72.0;340.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"09 Zdravstvo in socialna varnost";3131.0;913.0;2218.0;3024.0;870.0;2154.0;2967.0;821.0;2146.0;3157.0;855.0;2302.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Redni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"Podroèje izobraževanja - SKUPAJ";75.0;37.0;38.0;58.0;24.0;34.0;19.0;12.0;7.0;25.0;14.0;11.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"02 Umetnost in humanistika";8.0;7.0;1.0;3.0;3.0;-;1.0;-;1.0;5.0;4.0;1.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"03 Družbene vede, novinarstvo in informacijska znanost";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"04 Poslovne in upravne vede, pravo";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"05 Naravoslovje, matematika in statistika";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"06 Informacijske in komunikacijske tehnologije (IKT)";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";67.0;30.0;37.0;55.0;21.0;34.0;18.0;12.0;6.0;20.0;10.0;10.0
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"09 Zdravstvo in socialna varnost";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"Izredni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";-;-;-;-;-;-;-;-;-;-;-;-
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"Podroèje izobraževanja - SKUPAJ";14884.0;5620.0;9264.0;14476.0;5464.0;9012.0;14351.0;5520.0;8831.0;15657.0;6053.0;9604.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";2206.5;341.5;1865.0;2089.5;324.5;1765.0;2014.0;329.0;1685.0;2185.5;348.0;1837.5
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"02 Umetnost in humanistika";1521.5;451.5;1070.0;1424.0;405.5;1018.5;1167.5;359.5;808.0;1286.0;403.0;883.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"03 Družbene vede, novinarstvo in informacijska znanost";1713.0;479.0;1234.0;1586.5;429.0;1157.5;1520.5;382.5;1138.0;1672.5;439.0;1233.5
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"04 Poslovne in upravne vede, pravo";3679.0;1296.0;2383.0;3550.0;1287.0;2263.0;3699.0;1342.0;2357.0;4009.0;1461.0;2548.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"05 Naravoslovje, matematika in statistika";1195.0;441.0;754.0;1206.0;453.0;753.0;1236.0;485.0;751.0;1383.0;535.0;848.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"06 Informacijske in komunikacijske tehnologije (IKT)";510.0;420.0;90.0;480.0;393.0;87.0;549.0;441.0;108.0;648.0;518.0;130.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"07 Tehnika, proizvodne tehnologije in gradbeništvo";2181.0;1639.0;542.0;2191.0;1640.0;551.0;2399.0;1661.0;738.0;2554.0;1788.0;766.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"08 Kmetijstvo, gozdarstvo, ribištvo in veterinarstvo";489.0;164.0;325.0;525.0;154.0;371.0;450.0;154.0;296.0;480.0;168.0;312.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"09 Zdravstvo in socialna varnost";856.0;160.0;696.0;886.0;170.0;716.0;777.0;138.0;639.0;853.0;151.0;702.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Redni";"10 Transport, varnost, gostinstvo in turizem, osebne storitve";533.0;228.0;305.0;538.0;208.0;330.0;539.0;228.0;311.0;586.0;242.0;344.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"Podroèje izobraževanja - SKUPAJ";1946.0;695.0;1251.0;1997.0;664.0;1333.0;2108.0;714.0;1394.0;2470.0;858.0;1612.0
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"Izredni";"01 Izobraževalne znanosti in izobraževanje uèiteljev";394.0;35.0;359.0;400.0;29.0;371.0;391.0;30.0;361.0;414.0;34.0;380.0
